user1, 0, 10, 20
user2, 0, 30, 30
user3, 0, 10, 15
user4, 0, 30, 37
user5, 0, 30, 37
user6, 0, 15, 22
user7, 0, 5, 10
user8, 0, 0, 15
user9, 0, 20, 17
user10, 0, 10, 37
user1, 1, 10, 20
user2, 1, 30, 30
user3, 1, 10, 15
user4, 1, 30, 37
user5, 1, 30, 37
user6, 1, 10, 25
user7, 1, 15, 20
user8, 1, 32, 27
user9, 1, 39, 13
user10, 1, 2, 17
user1, 2, 10, 20
user2, 2, 30, 30
user3, 2, 10, 15
user4, 2, 30, 37
user5, 2, 30, 37
user6, 2, 17, 5
user7, 2, 5, 2
user8, 2, 37, 27
user9, 2, 1, 1
user10, 2, 22, 37
